hashtag,minute_start,count
#sexy,2014-09-10 11:10:00+0100,1
#SouDoTempo,2014-09-10 11:10:00+0100,1
#CaneNation,2014-09-10 11:10:00+0100,1
#CherrybelleRebornSolo,2014-09-10 11:10:00+0100,1
#psychics,2014-09-10 11:10:00+0100,1
#تطبيق_تاملات_ايمانية,2014-09-10 11:10:00+0100,1
#gameinsight,2014-09-10 11:10:00+0100,8
#Porn,2014-09-10 11:10:00+0100,1
#Mystery,2014-09-10 11:10:00+0100,1
#supportingirishmusic,2014-09-10 11:10:00+0100,1
#共感したらRT,2014-09-10 11:10:00+0100,1
#نكون_سعداء_اذا✔➐,2014-09-10 11:10:00+0100,3
#نيك,2014-09-10 11:10:00+0100,1
#667,2014-09-10 11:10:00+0100,1
#うどん,2014-09-10 11:10:00+0100,1
#JawaraXeniaMelewatiTikungan,2014-09-10 11:10:00+0100,1
#Win,2014-09-10 11:10:00+0100,1
#مكة,2014-09-10 11:10:00+0100,1
#eBookDeals,2014-09-10 11:10:00+0100,1
